Time [s],Packet ID,MOSI,MISO
105.324239333333338,1814,0x00,0x17
105.324249916666673,1815,0x81,0x00
105.324263250000001,1816,0xC2,0x00
105.324268583333335,1817,0x01,0x00
105.324386083333337,1818,0x00,0x80
105.324392250000002,1819,0xB0,0xFF
105.324397500000003,1819,0x00,0x7E
105.324550666666667,1820,0x00,0x8C
105.324556833333332,1821,0xB0,0xFF
105.324562083333333,1821,0x00,0x53
105.324706666666671,1822,0x00,0x82
105.324712916666670,1823,0xB0,0xFF
105.324718166666671,1823,0x00,0x07
105.324864916666670,1824,0x00,0x88
105.324871083333335,1825,0xB0,0xFF
105.324876333333336,1825,0x00,0x69
105.325023916666666,1826,0x00,0x84
105.325030166666664,1827,0xB0,0xFF
105.325035416666665,1827,0x00,0x23
105.325180000000003,1828,0x00,0x00
105.325186083333335,1829,0xB0,0xFF
105.325191333333336,1829,0x00,0xAE
105.325342416666672,1830,0x00,0x00
105.325348500000004,1831,0xB0,0xFF
105.325353750000005,1831,0x00,0x56
105.325504666666660,1832,0x00,0x82
105.325510916666673,1833,0xB0,0xFF
105.325516166666674,1833,0x00,0x7D
105.325662916666673,1834,0x00,0x80
105.325669083333338,1835,0xB0,0xFF
105.325674333333339,1835,0x00,0x0C
105.325829499999998,1836,0x00,0x84
105.325835666666663,1837,0xB0,0xFF
105.325840916666664,1837,0x00,0xED
105.325985833333334,1838,0x00,0x00
105.325991916666666,1839,0xB0,0xFF
105.325997166666667,1839,0x00,0xB3
105.326143916666666,1840,0x00,0x84
105.326150083333332,1841,0xB0,0xFF
105.326155416666666,1841,0x00,0x48
105.326302083333331,1842,0x00,0x84
105.326308249999997,1843,0xB0,0xFF
105.326313499999998,1843,0x00,0x86
105.326462416666672,1844,0x00,0x00
105.326468500000004,1845,0xB0,0xFF
105.326473750000005,1845,0x00,0xE0
105.326622749999999,1846,0x00,0x84
105.326628916666664,1847,0xB0,0xFF
105.326634249999998,1847,0x00,0xE0
105.326644833333333,1848,0x92,0x00
105.326658166666661,1849,0xA5,0x00
105.326663333333329,1850,0x80,0x00
105.326778833333336,1851,0x00,0x00
105.326784916666668,1852,0xB0,0xFF
105.326790166666669,1852,0x00,0x34
105.326945333333327,1853,0x00,0x88
105.326951500000007,1854,0xB0,0xFF
