Time [s],Packet ID,MOSI,MISO
10.652579187500001,68,0x00,0x20
10.652582187500000,68,0x00,0x84
10.652610500000000,69,0x94,0x00
10.652612749999999,69,0xA1,0x00
10.652733250000001,70,0x00,0x80
10.652735437500001,70,0x00,0x60
10.652738437500000,70,0x00,0xED
10.652895624999999,71,0x00,0x80
10.652897812499999,71,0x00,0x20
10.652900812500000,71,0x00,0x3B
10.653055187500000,72,0x00,0x80
10.653057374999999,72,0x00,0x60
10.653060375000001,72,0x00,0x31
10.653214062500000,73,0x00,0x80
10.653216250000000,73,0x00,0x20
10.653219249999999,73,0x00,0x0E
10.653372187500000,74,0x00,0x80
10.653374375000000,74,0x00,0x20
10.653377375000000,74,0x00,0x9F
10.653534625000001,75,0x00,0x80
10.653536812500001,75,0x00,0x20
10.653539812500000,75,0x00,0xF9
