Time [s];Packet ID;MOSI;MISO;
39.532.933.812.499.900;254;0x00;0x80;
39.532.935.999.999.900;254;0x00;0x00;
39.532.938.999.999.900;254;0x00;0xFF;
39.533.096.187.500.000;255;0x00;0x80;
39.533.098.375.000.000;255;0x00;0x00;
39.533.101.375.000.000;255;0x00;0x9D;
39.533.258.562.500.000;256;0x00;0x80;
39.533.260.749.999.900;256;0x00;0x40;
39.533.263.750.000.000;256;0x00;0xE1;
39.533.421.750.000.000;257;0x00;0x80;
39.533.423.937.499.900;257;0x00;0x00;
39.533.426.937.500.000;257;0x00;0x2F;
39.533.577.812.499.900;258;0x00;0x80;
39.533.580.000.000.000;258;0x00;0x00;
39.533.583.000.000.000;258;0x00;0x7E;
39.533.731.250.000.000;259;0x00;0x80;
39.533.733.437.499.900;259;0x00;0x40;
39.533.736.437.500.000;259;0x00;0xB7;
39.533.890.749.999.900;260;0x00;0x80;
39.533.892.937.499.900;260;0x00;0x00;
39.533.895.937.499.900;260;0x00;0xB6;
39.534.057.375.000.000;261;0x00;0x80;
39.534.059.562.499.900;261;0x00;0x00;
39.534.062.562.499.900;261;0x00;0xE3;
39.534.221.750.000.000;262;0x00;0x80;
39.534.223.937.500.000;262;0x00;0x00;
39.534.226.937.500.000;262;0x00;0x16;
39.534.382.125.000.000;263;0x00;0x80;
39.534.384.312.500.000;263;0x00;0x00;
39.534.387.312.500.000;263;0x00;0x21;
39.534.542.375.000.000;264;0x00;0x80;
39.534.544.562.500.000;264;0x00;0x00;
39.534.547.562.500.000;264;0x00;0xFF;
39.534.696.375.000.000;265;0x00;0x80;
39.534.698.562.499.900;265;0x00;0x00;
39.534.701.562.499.900;265;0x00;0xAE;
39.534.858.749.999.900;266;0x00;0x80;
39.534.860.937.500.000;266;0x00;0x80;
39.534.863.937.499.900;266;0x00;0x8F;
39.535.006.562.500.000;267;0x00;0x80;
39.535.008.750.000.000;267;0x00;0x00;
39.535.011.750.000.000;267;0x00;0x57;
39.535.169.000.000.000;268;0x00;0x80;
39.535.171.187.499.900;268;0x00;0x00;
39.535.174.187.499.900;268;0x00;0x33;
39.535.327.812.500.000;269;0x00;0x80;
39.535.330.062.500.000;269;0x00;0x40;
39.535.333.062.500.000;269;0x00;0x6F;
39.535.488.312.500.000;270;0x00;0x80;
39.535.490.500.000.000;270;0x00;0x00;
39.535.493.500.000.000;270;0x00;0x9F;
39.535.650.625.000.000;271;0x00;0x80;
39.535.652.812.499.900;271;0x00;0x00;
39.535.655.812.500.000;271;0x00;0xFF;
39.535.810.875.000.000;272;0x00;0x80;
39.535.813.062.499.900;272;0x00;0x80;
39.535.816.062.499.900;272;0x00;0x2D;
39.535.975.375.000.000;273;0x00;0x80;
39.535.977.562.500.000;273;0x00;0x00;
39.535.980.562.500.000;273;0x00;0x03;
39.536.135.625.000.000;274;0x00;0x80;
39.536.137.812.500.000;274;0x00;0x00;
39.536.140.812.500.000;274;0x00;0xF8;
39.536.296.000.000.000;275;0x00;0x80;
39.536.298.187.500.000;275;0x00;0xC0;
39.536.301.187.500.000;275;0x00;0xAF;
39.536.455.687.500.000;276;0x00;0x80;
39.536.457.875.000.000;276;0x00;0x00;
39.536.460.875.000.000;276;0x00;0xFE;
39.536.607.375.000.000;277;0x00;0x80;
39.536.609.562.499.900;277;0x00;0x00;
39.536.612.562.499.900;277;0x00;0x62;
39.536.763.624.999.900;278;0x00;0x80;
39.536.765.812.500.000;278;0x00;0x00;
39.536.768.812.500.000;278;0x00;0x73;
39.536.917.562.500.000;279;0x00;0x80;
39.536.919.750.000.000;279;0x00;0x80;
39.536.922.750.000.000;279;0x00;0xFB;
39.537.081.999.999.900;280;0x00;0x80;
39.537.084.187.500.000;280;0x00;0x00;
39.537.087.187.499.900;280;0x00;0xFF;
39.537.240.187.499.900;281;0x00;0x80;
39.537.242.437.499.900;281;0x00;0x00;
39.537.245.437.499.900;281;0x00;0xD5;
39.537.402.687.499.900;282;0x00;0x80;
39.537.404.875.000.000;282;0x00;0xC0;
39.537.407.875.000.000;282;0x00;0x6C;
39.537.562.312.500.000;283;0x00;0x80;
39.537.564.500.000.000;283;0x00;0x00;
39.537.567.500.000.000;283;0x00;0x39;
39.537.720.374.999.900;284;0x00;0x80;
39.537.722.562.500.000;284;0x00;0x80;
39.537.725.562.500.000;284;0x00;0x86;
39.537.880.874.999.900;285;0x00;0x80;
39.537.883.062.500.000;285;0x00;0x40;
39.537.886.062.500.000;285;0x00;0xF4;
